epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,112.951,1.99215,1.29969,1.13404,0.68052,0.68746,0.66995,0.27312,1.87157,1.16903,1.1799,0.007228,0.007228,0.007228
44,115.728,2.01832,1.32479,1.11776,0.67846,0.67167,0.67247,0.31252,1.78297,1.18958,1.1014,0.007162,0.007162,0.007162
45,118.012,1.87221,1.26982,1.09301,0.72423,0.68077,0.71335,0.34036,1.71317,1.1735,1.07791,0.007096,0.007096,0.007096
46,120.431,1.88617,1.26437,1.11786,0.72774,0.7216,0.74114,0.357,1.77766,1.13775,1.09823,0.00703,0.00703,0.00703
47,122.766,1.84314,1.22376,1.09292,0.67164,0.68455,0.67142,0.29799,1.8045,1.14251,1.15094,0.006964,0.006964,0.006964
48,125.274,1.89108,1.25991,1.10937,0.68945,0.70215,0.69456,0.33114,1.7619,1.11027,1.12549,0.006898,0.006898,0.006898
49,128.073,1.924,1.25865,1.12018,0.70521,0.69785,0.71035,0.32704,1.72322,1.10612,1.1148,0.006832,0.006832,0.006832
50,130.397,1.84138,1.22665,1.11764,0.68009,0.66953,0.68395,0.3138,1.81539,1.20108,1.09384,0.006766,0.006766,0.006766
51,132.78,1.8717,1.21979,1.10864,0.72348,0.72092,0.7418,0.3668,1.68257,1.14068,1.07053,0.0067,0.0067,0.0067
52,135.184,1.95014,1.22539,1.08438,0.66029,0.64899,0.64489,0.23095,2.03788,1.29582,1.14672,0.006634,0.006634,0.006634
53,137.923,1.88656,1.31768,1.09995,0.71481,0.71502,0.72554,0.34547,1.74782,1.17452,1.07948,0.006568,0.006568,0.006568
54,140.391,1.91419,1.22303,1.10795,0.75557,0.73691,0.76783,0.39201,1.64944,1.10837,1.06445,0.006502,0.006502,0.006502
55,143.108,1.91596,1.24787,1.10982,0.73475,0.71845,0.7526,0.38294,1.64633,1.08492,1.08601,0.006436,0.006436,0.006436
56,145.549,1.84491,1.17468,1.07705,0.73866,0.7327,0.75817,0.37383,1.6773,1.09462,1.06948,0.00637,0.00637,0.00637
