epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1504.89,2.00294,1.3247,1.12029,0.64067,0.60172,0.62219,0.2463,1.9538,1.3063,1.14057,0.007162,0.007162,0.007162
45,1542.75,1.8772,1.26263,1.10105,0.71311,0.67983,0.70454,0.34408,1.71908,1.17389,1.08371,0.007096,0.007096,0.007096
46,1580.61,1.87071,1.26059,1.11853,0.62004,0.57339,0.59576,0.20305,2.19361,1.41725,1.21433,0.00703,0.00703,0.00703
47,1619.34,1.81342,1.21441,1.08651,0.70566,0.69099,0.70648,0.32749,1.74558,1.12436,1.12718,0.006964,0.006964,0.006964
48,1660.21,1.8827,1.25024,1.11314,0.71188,0.70094,0.71534,0.35087,1.74631,1.09546,1.12568,0.006898,0.006898,0.006898
49,1703.15,1.91605,1.25254,1.12439,0.74047,0.72615,0.75868,0.38237,1.64149,1.06824,1.08463,0.006832,0.006832,0.006832
50,1740.01,1.85412,1.21547,1.12718,0.7118,0.70901,0.7311,0.36396,1.67352,1.09417,1.0797,0.006766,0.006766,0.006766
51,1777.56,1.85164,1.1999,1.1059,0.72275,0.71717,0.74253,0.37031,1.66551,1.12211,1.07016,0.0067,0.0067,0.0067
52,1820.07,1.93945,1.21403,1.08287,0.65342,0.62952,0.63026,0.21152,2.10531,1.31591,1.17824,0.006634,0.006634,0.006634
53,1858.6,1.88599,1.29434,1.10341,0.72127,0.73262,0.74969,0.36847,1.67385,1.13122,1.06958,0.006568,0.006568,0.006568
54,1897.59,1.93266,1.2204,1.12117,0.73546,0.70638,0.73689,0.36129,1.723,1.12134,1.08114,0.006502,0.006502,0.006502
55,1938.73,1.90251,1.23991,1.10911,0.72797,0.72833,0.74438,0.38276,1.61991,1.0955,1.07667,0.006436,0.006436,0.006436
56,1979.49,1.81084,1.15156,1.07304,0.73818,0.70386,0.73259,0.37034,1.6617,1.08557,1.07821,0.00637,0.00637,0.00637
57,2021.58,1.93425,1.19268,1.09371,0.75152,0.73476,0.76954,0.3776,1.66354,1.05537,1.09263,0.006304,0.006304,0.006304
58,2059.82,1.84292,1.2221,1.0832,0.69942,0.6801,0.69102,0.31742,1.7881,1.15805,1.08557,0.006238,0.006238,0.006238
59,2100.13,1.9819,1.33079,1.10749,0.72398,0.70258,0.73255,0.38368,1.61322,1.12259,1.0487,0.006172,0.006172,0.006172
60,2141.29,1.78844,1.13666,1.06553,0.7452,0.71674,0.75086,0.37509,1.70428,1.10856,1.07503,0.006106,0.006106,0.006106
61,2181.2,1.95722,1.21798,1.10889,0.72983,0.73736,0.76175,0.39909,1.59169,1.03904,1.06828,0.00604,0.00604,0.00604
62,2223.03,1.90335,1.24375,1.1086,0.73616,0.72208,0.74055,0.36866,1.63152,1.10289,1.06165,0.005974,0.005974,0.005974
63,2262.14,1.80207,1.16818,1.0954,0.74097,0.74766,0.76977,0.39463,1.60665,1.04634,1.07508,0.005908,0.005908,0.005908
64,2301.66,1.80641,1.17083,1.08513,0.72128,0.72525,0.73515,0.39594,1.56418,1.07967,1.051,0.005842,0.005842,0.005842
65,2339.83,1.78442,1.14543,1.08082,0.72501,0.72833,0.75143,0.39303,1.60971,1.05738,1.07991,0.005776,0.005776,0.005776
